Taille_mat;Taille_blocs;Nb_threads;Run_ID;Time
2500;32;1;1;20.7741
2500;32;1;2;20.868
2500;32;1;3;20.9126
2500;32;1;4;21.1812
2500;32;1;5;20.8663
2500;32;2;1;10.9241
2500;32;2;2;10.7091
2500;32;2;3;10.791
2500;32;2;4;11.0052
2500;32;2;5;11.0422
2500;32;4;1;5.52559
2500;32;4;2;5.50883
2500;32;4;3;5.67121
2500;32;4;4;5.52998
2500;32;4;5;5.58624
2500;32;8;1;2.89536
2500;32;8;2;2.89724
2500;32;8;3;2.90253
2500;32;8;4;2.92597
2500;32;8;5;2.9083
2500;64;1;1;19.5444
2500;64;1;2;19.5688
2500;64;1;3;19.5584
2500;64;1;4;19.5496
2500;64;1;5;19.5857
2500;64;2;1;10.1367
2500;64;2;2;10.3181
2500;64;2;3;10.6043
2500;64;2;4;10.3805
2500;64;2;5;10.1325
2500;64;4;1;5.34382
2500;64;4;2;5.17939
2500;64;4;3;5.19049
2500;64;4;4;5.22814
2500;64;4;5;5.2625
2500;64;8;1;2.70566
2500;64;8;2;2.70897
2500;64;8;3;2.70642
2500;64;8;4;2.73351
2500;64;8;5;2.71141
2500;96;1;1;20.3594
2500;96;1;2;20.3486
2500;96;1;3;20.5855
2500;96;1;4;20.361
2500;96;1;5;20.3563
2500;96;2;1;11.598
2500;96;2;2;11.0369
2500;96;2;3;11.0339
2500;96;2;4;11.2595
2500;96;2;5;11.1376
2500;96;4;1;5.67267
2500;96;4;2;5.8386
2500;96;4;3;5.78212
2500;96;4;4;5.80003
2500;96;4;5;5.75583
2500;96;8;1;3.33209
2500;96;8;2;3.32173
2500;96;8;3;3.32234
2500;96;8;4;3.32428
2500;96;8;5;3.32322
2500;128;1;1;19.3536
2500;128;1;2;19.3597
2500;128;1;3;19.3116
2500;128;1;4;19.3423
2500;128;1;5;19.3421
2500;128;2;1;10.009
2500;128;2;2;9.99397
2500;128;2;3;10.0402
2500;128;2;4;10.0171
2500;128;2;5;10.2148
2500;128;4;1;5.3163
2500;128;4;2;5.17343
2500;128;4;3;5.17842
2500;128;4;4;5.16336
2500;128;4;5;5.14243
2500;128;8;1;3.18956
2500;128;8;2;3.15536
2500;128;8;3;3.15148
2500;128;8;4;3.16019
2500;128;8;5;3.40884
2500;160;1;1;20.3689
2500;160;1;2;20.5351
2500;160;1;3;20.5778
2500;160;1;4;20.378
2500;160;1;5;20.3735
2500;160;2;1;10.6824
2500;160;2;2;10.4294
2500;160;2;3;10.5703
2500;160;2;4;10.688
2500;160;2;5;10.5437
2500;160;4;1;5.38983
2500;160;4;2;5.39407
2500;160;4;3;5.44136
2500;160;4;4;5.54032
2500;160;4;5;5.38531
2500;160;8;1;2.87567
2500;160;8;2;2.83497
2500;160;8;3;2.84165
2500;160;8;4;2.83174
2500;160;8;5;2.83621
2500;192;1;1;21.3616
2500;192;1;2;21.3679
2500;192;1;3;21.3642
2500;192;1;4;21.453
2500;192;1;5;21.6342
2500;192;2;1;11.6146
2500;192;2;2;11.5839
2500;192;2;3;11.579
2500;192;2;4;11.6094
2500;192;2;5;11.7295
2500;192;4;1;6.93998
2500;192;4;2;6.88977
2500;192;4;3;7.1078
2500;192;4;4;6.72297
2500;192;4;5;6.83871
2500;192;8;1;3.56074
2500;192;8;2;3.55245
2500;192;8;3;3.54073
2500;192;8;4;3.54452
2500;192;8;5;3.55211
2500;224;1;1;20.8987
2500;224;1;2;20.9836
2500;224;1;3;20.7856
2500;224;1;4;20.8986
2500;224;1;5;20.9881
2500;224;2;1;11.3695
2500;224;2;2;11.3243
2500;224;2;3;11.3357
2500;224;2;4;11.4818
2500;224;2;5;11.4656
2500;224;4;1;5.78961
2500;224;4;2;5.98379
2500;224;4;3;5.87079
2500;224;4;4;5.99525
2500;224;4;5;5.78609
2500;224;8;1;3.93324
2500;224;8;2;3.99708
2500;224;8;3;3.93238
2500;224;8;4;3.99064
2500;224;8;5;3.94347
2500;256;1;1;19.6214
2500;256;1;2;19.6294
2500;256;1;3;19.6528
2500;256;1;4;19.638
2500;256;1;5;19.6397
2500;256;2;1;10.321
2500;256;2;2;10.1713
2500;256;2;3;10.1517
2500;256;2;4;10.4514
2500;256;2;5;10.3425
2500;256;4;1;6.35766
2500;256;4;2;6.47422
2500;256;4;3;6.18829
2500;256;4;4;6.19311
2500;256;4;5;6.38771
2500;256;8;1;4.19684
2500;256;8;2;4.201
2500;256;8;3;4.19791
2500;256;8;4;4.19212
2500;256;8;5;4.21652
